# MineralRadar — Registry de Portos Organizados Públicos do Brasil
#
# Fonte: Ministério dos Transportes (dados.transportes.gov.br) +
#        curadoria manual das coordenadas de "portão de entrada rodoviária"
#        (não centroide do polígono, que pode cair no mar)
#
# Total: 35 portos organizados públicos federais (lista oficial PNL/MTransp).
# TUPs (Terminais de Uso Privado) e ETCs ficam para Fase 2 (ver
# docs/SPEC_PORTOS_OPENSEARCH.md).
#
# Schema: separador ';'  — mesmo padrão dos CSVs do dataset CKAN do MTransp.
# Campos:
#   codigo                 Identificador interno curto e estável (3-5 chars).
#   nome                   Nome canônico do porto.
#   uf                     UF de localização (2 letras).
#   municipio              Município sede do cais principal.
#   latitude               Latitude WGS-84 do PORTÃO RODOVIÁRIO (entrada de
#                          caminhões), não do mar nem do centroide.
#   longitude              Idem.
#   endereco               Endereço da administração / portão principal,
#                          no formato que o Azure Maps consegue rotear.
#   autoridade_portuaria   Codesp/Codeba/EMAP/etc. — útil para popup do mapa.
#   cargas_principais      CSV interno (vírgula): granéis sólidos, contêineres,
#                          granéis líquidos, carga geral, minério de ferro, …
#                          Usado para rankings tipo "principais portos
#                          graneleiros do nordeste".
#   aliases                CSV interno (vírgula) de outros nomes pelos quais
#                          o porto é conhecido (ex.: "Tecon Santos", "Porto
#                          de Aratu-Candeias", "Mucuripe"). Usados no fuzzy
#                          match do registry — vital para resolver consultas
#                          como "Porto de Mucuripe" → Fortaleza.
#   validacao_pendente     true se as coordenadas precisam de revisão manual
#                          (portos menores onde o portão é menos óbvio).
#                          Itens com este flag DEVEM ser auditados antes de
#                          dependermos do guardrail para roteamento.
#
codigo;nome;uf;municipio;latitude;longitude;endereco;autoridade_portuaria;cargas_principais;aliases;validacao_pendente
PSV;Porto de Santos;SP;Santos;-23.93333;-46.31250;Av. Conselheiro Rodrigues Alves, s/n, Macuco, Santos/SP;Autoridade Portuária de Santos (APS);contêineres,granéis sólidos,celulose,açúcar;Tecon Santos,Porto de Santos SP;false
PNG;Porto de Paranaguá;PR;Paranaguá;-25.50194;-48.51389;Av. Ayrton Senna da Silva, 161, Centro, Paranaguá/PR;Portos do Paraná;granéis sólidos,contêineres,grãos,fertilizantes;Porto de Paranaguá PR;false
ITQ;Porto de Itaqui;MA;São Luís;-2.57833;-44.36556;Av. dos Portugueses, s/n, Itaqui, São Luís/MA;EMAP;granéis sólidos,grãos,combustíveis;Porto do Itaqui,Itaqui MA;false
SUA;Porto de Suape;PE;Ipojuca;-8.39556;-34.96111;Complexo Industrial Portuário Governador Eraldo Gueiros, Ipojuca/PE;Suape Complexo Industrial Portuário;contêineres,granéis líquidos,combustíveis,carga geral;Complexo de Suape,Porto de Suape PE;false
VIX;Porto de Vitória;ES;Vitória;-20.31833;-40.34250;Av. Getúlio Vargas, 556, Centro, Vitória/ES;Codesa;granéis sólidos,carga geral,rochas ornamentais;Porto de Vitória ES;false
RIG;Porto de Rio Grande;RS;Rio Grande;-32.10250;-52.09472;Av. Honório Bicalho, s/n, Rio Grande/RS;Porto do Rio Grande;granéis sólidos,contêineres,grãos,fertilizantes;Porto do Rio Grande,Porto de Rio Grande RS;false
IGI;Porto de Itaguaí;RJ;Itaguaí;-22.92861;-43.83833;Rod. Rio-Santos (BR-101), km 414, Itaguaí/RJ;Portos do Rio;granéis sólidos,minério de ferro,carvão;Porto de Sepetiba,Itaguai RJ;false
ATU;Porto de Aratu-Candeias;BA;Candeias;-12.79667;-38.49250;Rod. BA-522, km 9, Aratu, Candeias/BA;Codeba;granéis sólidos,granéis líquidos;Porto de Aratu,Aratu Candeias,Aratu BA;false
SSA;Porto de Salvador;BA;Salvador;-12.96889;-38.51389;Av. da França, s/n, Comércio, Salvador/BA;Codeba;contêineres,carga geral,granéis sólidos;Porto de Salvador BA,Cais de Salvador;false
ITJ;Porto de Itajaí;SC;Itajaí;-26.90889;-48.65583;Av. Adolfo Konder, 1025, Centro, Itajaí/SC;Superintendência do Porto de Itajaí;contêineres,carga geral;Porto de Itajai SC;false
